,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Francisco MS7SA,546,Francisco MS,7,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Francisco MS8SA,546,Francisco MS,8,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
Opened in 24-25,Galileo HS9AF,559,Galileo HS,9,AF,SDC – Mild/Mod Autism Focus,6,2,39%,5,89%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,5,2,36%,4,86%
Opened in 25-26,Galileo HS10AF,559,Galileo HS,10,AF,SDC – Mild/Mod Autism Focus,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
New for 26-27,Galileo HS11AF,559,Galileo HS,11,AF,SDC – Mild/Mod Autism Focus,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%
,Galileo HS13CA,559,Galileo HS,13,CA,SDC - Transition Program (CAT),11,2,16%,8,72%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,20%,2,90%,8,1,16%,5,66%
,Galileo HS9ED,559,Galileo HS,9,ED,SDC - SOAR,5,2,42%,5,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,50%,3,100%,2,1,33%,2,100%
,Galileo HS10ED,559,Galileo HS,10,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Galileo HS11ED,559,Galileo HS,11,ED,SDC - SOAR,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Galileo HS12ED,559,Galileo HS,12,ED,SDC - SOAR,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-
,Galileo HS9GE,559,Galileo HS,9,GE,General Education,1373,460,34%,1290,94%,55,41,74%,55,100%,0,0,-,0,-,0,0,-,0,-,274,74,27%,274,100%,1048,350,33%,964,92%
,Galileo HS10GE,559,Galileo HS,10,GE,General Education,35,17,49%,32,91%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,25%,4,100%,31,16,52%,28,90%
,Galileo HS11GE,559,Galileo HS,11,GE,General Education,25,3,13%,18,73%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,31%,3,81%,21,2,10%,15,72%
,Galileo HS12GE,559,Galileo HS,12,GE,General Education,9,2,22%,8,83%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,78%,7,1,19%,6,85%
,Galileo HS9MM,559,Galileo HS,9,MM,SDC - Mild to Moderate,21,7,31%,21,100%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,7,2,21%,7,100%,13,5,34%,13,100%
,Galileo HS10MM,559,Galileo HS,10,MM,SDC - Mild to Moderate,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%
,Galileo HS11MM,559,Galileo HS,11,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Galileo HS12MM,559,Galileo HS,12,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Galileo HS9MS,559,Galileo HS,9,MS,SDC - Extensive Support,5,2,30%,5,95%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,60%,1,100%,4,1,20%,4,93%
,Galileo HS10MS,559,Galileo HS,10,MS,SDC - Extensive Support,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,50%,1,100%
,Galileo HS11MS,559,Galileo HS,11,MS,SDC - Extensive Support,1,0,0%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,0%,0,100%
,Galileo HS12MS,559,Galileo HS,12,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Galileo HS9NX,559,Galileo HS,9,NX,Newcomer Program,43,22,51%,43,100%,4,4,94%,4,100%,0,0,-,0,-,0,0,-,0,-,14,7,52%,14,100%,6,2,33%,6,100%
,Galileo HS10NX,559,Galileo HS,10,NX,Newcomer Program,3,2,69%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,1,57%,2,100%
,Galileo HS11NX,559,Galileo HS,11,NX,Newcomer Program,2,1,33%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,1,100%,1,100%
,Galileo HS12NX,559,Galileo HS,12,NX,Newcomer Program,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,0%,1,100%
,Garfield ESKAF,562,Garfield ES,K,AF,SDC – Mild/Mod Autism Focus,9,3,35%,9,97%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,1,14%,4,100%,6,3,48%,6,96%
,Garfield ES1AF,562,Garfield ES,1,AF,SDC – Mild/Mod Autism Focus,1,0,0%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,0,0%,0,50%
,Garfield ES2AF,562,Garfield ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Garfield ES3AF,562,Garfield ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Garfield ES4AF,562,Garfield ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Garfield ES5AF,562,Garfield ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Garfield ESKCE,562,Garfield ES,K,CE,Cantonese Immersion (All English),41,9,21%,36,88%,4,3,86%,4,100%,0,0,-,0,-,0,0,-,0,-,3,0,0%,3,100%,34,6,16%,29,86%
,Garfield ES1CE,562,Garfield ES,1,CE,Cantonese Immersion (All English),5,2,39%,4,89%,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,4,2,40%,3,87%
,Garfield ESKCN,562,Garfield ES,K,CN,Cantonese Immersion (Cantonese Speakers),19,5,27%,18,96%,2,2,86%,2,100%,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,100%,15,3,21%,15,95%
,Garfield ES1CN,562,Garfield ES,1,CN,Cantonese Immersion (Cantonese Speakers),2,1,71%,2,100%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%
,Garfield ES2CN,562,Garfield ES,2,CN,Cantonese Immersion (Cantonese Speakers),2,2,86%,2,100%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,80%,1,100%
,Garfield ES3CN,562,Garfield ES,3,CN,Cantonese Immersion (Cantonese Speakers),1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%
,Garfield ES4CN,562,Garfield ES,4,CN,Cantonese Immersion (Cantonese Speakers),1,1,60%,1,100%,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%
,Garfield ES5CN,562,Garfield ES,5,CN,Cantonese Immersion (Cantonese Speakers),0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Garfield ESTKGE,562,Garfield ES,TK,GE,General Education,64,25,38%,60,94%,5,5,100%,5,100%,6,5,82%,6,100%,0,0,-,0,-,5,1,22%,5,100%,51,16,31%,47,92%
,Garfield ESKGE,562,Garfield ES,K,GE,General Education,89,23,26%,88,99%,5,3,60%,5,100%,8,4,55%,8,100%,0,0,-,0,-,6,1,13%,6,100%,71,16,22%,70,98%
,Garfield ES1GE,562,Garfield ES,1,GE,General Education,4,1,12%,4,94%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,4,1,13%,4,94%
,Garfield ES2GE,562,Garfield ES,2,GE,General Education,3,1,30%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,1,33%,2,100%
,Garfield ES3GE,562,Garfield ES,3,GE,General Education,2,1,43%,2,100%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,100%
,Garfield ES4GE,562,Garfield ES,4,GE,General Education,2,1,33%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,1,0,33%,1,100%
,Garfield ES5GE,562,Garfield ES,5,GE,General Education,2,0,14%,2,100%,0,0,100%,0,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,100%
,Giannini (A.P.) MS6AF,404,Giannini (A.P.) MS,6,AF,SDC – Mild/Mod Autism Focus,19,3,16%,10,54%,0,0,100%,0,100%,0,0,-,0,-,4,2,64%,2,64%,3,1,23%,2,62%,13,0,2%,6,50%
,Giannini (A.P.) MS7AF,404,Giannini (A.P.) MS,7,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Giannini (A.P.) MS8AF,404,Giannini (A.P.) MS,8,AF,SDC – Mild/Mod Autism Focus,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Giannini (A.P.) MS6GE,404,Giannini (A.P.) MS,6,GE,General Education,1531,404,26%,1124,73%,63,63,100%,63,100%,0,0,-,0,-,364,360,99%,364,100%,135,45,34%,125,93%,1036,2,0%,639,62%
,Giannini (A.P.) MS7GE,404,Giannini (A.P.) MS,7,GE,General Education,62,2,3%,7,12%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,22%,1,44%,60,1,2%,6,10%
,Giannini (A.P.) MS8GE,404,Giannini (A.P.) MS,8,GE,General Education,30,0,1%,6,18%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,2,0,13%,1,63%,28,0,0%,4,15%
,Giannini (A.P.) MS6MM,404,Giannini (A.P.) MS,6,MM,SDC - Mild to Moderate,16,6,38%,12,75%,0,0,-,0,-,0,0,-,0,-,4,4,94%,4,100%,4,2,44%,4,94%,9,1,15%,5,56%
,Giannini (A.P.) MS7MM,404,Giannini (A.P.) MS,7,MM,SDC - Mild to Moderate,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,100%
,Giannini (A.P.) MS8MM,404,Giannini (A.P.) MS,8,MM,SDC - Mild to Moderate,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Giannini (A.P.) MS6MS,404,Giannini (A.P.) MS,6,MS,SDC - Extensive Support,7,2,28%,5,62%,1,1,100%,1,100%,0,0,-,0,-,3,2,70%,2,70%,1,0,20%,1,60%,4,0,0%,2,57%
,Giannini (A.P.) MS7MS,404,Giannini (A.P.) MS,7,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Giannini (A.P.) MS8MS,404,Giannini (A.P.) MS,8,MS,SDC - Extensive Support,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Giannini (A.P.) MS6SA,404,Giannini (A.P.) MS,6,SA,SDC - Extensive Support w Autism Focus,9,3,36%,7,81%,0,0,100%,0,100%,0,0,-,0,-,3,3,92%,3,92%,4,1,27%,4,93%,3,0,8%,2,58%
,Giannini (A.P.) MS7SA,404,Giannini (A.P.) MS,7,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Giannini (A.P.) MS8SA,404,Giannini (A.P.) MS,8,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Glen Park ESKGE,575,Glen Park ES,K,GE,General Education,287,46,16%,261,91%,11,10,93%,11,100%,42,24,57%,42,100%,0,0,-,0,-,22,3,11%,22,100%,217,14,7%,190,88%
,Glen Park ES1GE,575,Glen Park ES,1,GE,General Education,12,4,31%,11,94%,0,0,-,0,-,3,1,45%,3,91%,0,0,-,0,-,1,0,33%,1,100%,9,2,26%,8,94%
,Glen Park ES2GE,575,Glen Park ES,2,GE,General Education,8,1,6%,6,69%,0,0,100%,0,100%,1,0,20%,1,80%,0,0,-,0,-,1,0,0%,1,100%,6,0,0%,4,63%
,Glen Park ES3GE,575,Glen Park ES,3,GE,General Education,11,1,7%,7,69%,0,0,-,0,-,1,0,25%,0,25%,0,0,-,0,-,1,0,0%,1,100%,9,0,3%,6,71%
,Glen Park ES4GE,575,Glen Park ES,4,GE,General Education,6,1,9%,4,65%,0,0,-,0,-,2,0,14%,1,57%,0,0,-,0,-,1,0,0%,0,33%,3,0,8%,3,77%
,Glen Park ES5GE,575,Glen Park ES,5,GE,General Education,5,1,22%,4,89%,0,0,-,0,-,1,0,33%,1,100%,0,0,-,0,-,1,0,33%,1,100%,3,1,17%,3,83%
,Glen Park ESKSA,575,Glen Park ES,K,SA,SDC - Extensive Support w Autism Focus,9,3,31%,7,83%,0,0,100%,0,100%,1,0,33%,1,100%,0,0,-,0,-,2,1,56%,2,100%,6,1,22%,4,74%
,Glen Park ES1SA,575,Glen Park ES,1,SA,SDC - Extensive Support w Autism Focus,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,0,50%
,Glen Park ES2SA,575,Glen Park ES,2,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-
,Glen Park ES3SA,575,Glen Park ES,3,SA,SDC - Extensive Support w Autism Focus,1,0,50%,0,50%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,0%
,Glen Park ES4SA,575,Glen Park ES,4,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Glen Park ES5SA,575,Glen Park ES,5,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Glen Park ESKSB,575,Glen Park ES,K,SB,Spanish Biliteracy,32,10,30%,32,100%,2,2,100%,2,100%,0,0,-,0,-,0,0,-,0,-,5,1,24%,5,100%,24,6,27%,24,100%
,Glen Park ES1SB,575,Glen Park ES,1,SB,Spanish Biliteracy,1,0,0%,0,0%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Glen Park ES2SB,575,Glen Park ES,2,SB,Spanish Biliteracy,1,1,75%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,100%,1,100%
,Glen Park ES3SB,575,Glen Park ES,3,SB,Spanish Biliteracy,2,1,50%,1,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Glen Park ES4SB,575,Glen Park ES,4,SB,Spanish Biliteracy,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-
,Glen Park ES5SB,575,Glen Park ES,5,SB,Spanish Biliteracy,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
Opened in 25-26,Grattan ESTKGE,589,Grattan ES,TK,GE,General Education,346,20,6%,160,46%,18,17,97%,17,97%,32,11,34%,13,41%,0,0,-,0,-,20,2,8%,18,90%,286,0,0%,122,43%
,Grattan ESKGE,589,Grattan ES,K,GE,General Education,488,65,13%,400,82%,20,20,99%,20,99%,48,42,88%,48,100%,0,0,-,0,-,28,5,17%,28,100%,405,10,3%,316,78%
,Grattan ES1GE,589,Grattan ES,1,GE,General Education,27,4,14%,17,62%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,2,0,0%,2,100%,25,3,10%,14,58%
,Grattan ES2GE,589,Grattan ES,2,GE,General Education,19,3,16%,10,53%,0,0,0%,0,0%,1,1,75%,1,75%,0,0,-,0,-,1,0,25%,1,100%,17,2,12%,8,49%
,Grattan ES3GE,589,Grattan ES,3,GE,General Education,21,1,5%,12,58%,0,0,-,0,-,2,0,0%,1,29%,0,0,-,0,-,1,0,20%,1,80%,18,1,4%,11,60%
,Grattan ES4GE,589,Grattan ES,4,GE,General Education,16,2,15%,12,76%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,1,0,0%,1,80%,14,2,13%,10,75%
,Grattan ES5GE,589,Grattan ES,5,GE,General Education,15,2,11%,8,49%,0,0,-,0,-,1,1,50%,1,75%,0,0,-,0,-,1,0,0%,0,0%,14,1,9%,7,49%
Opened in 24-25,Grattan ESTKSA,589,Grattan ES,TK,SA,SDC - Extensive Support w Autism Focus,5,1,13%,3,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,2,86%,3,1,25%,1,50%
,Grattan ESKSA,589,Grattan ES,K,SA,SDC - Extensive Support w Autism Focus,8,2,18%,7,85%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,0,0%,2,80%,6,2,26%,5,87%
,Grattan ES1SA,589,Grattan ES,1,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Grattan ES2SA,589,Grattan ES,2,SA,SDC - Extensive Support w Autism Focus,1,0,0%,0,0%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Grattan ES3SA,589,Grattan ES,3,SA,SDC - Extensive Support w Autism Focus,1,1,100%,1,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Grattan ES4SA,589,Grattan ES,4,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Grattan ES5SA,589,Grattan ES,5,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Guadalupe ESTKGE,593,Guadalupe ES,TK,GE,General Education,62,26,41%,61,99%,4,4,93%,4,93%,9,6,63%,9,100%,0,0,-,0,-,6,2,33%,6,100%,46,17,37%,46,99%
,Guadalupe ESKGE,593,Guadalupe ES,K,GE,General Education,64,16,24%,61,96%,4,3,76%,4,100%,13,5,38%,13,100%,0,0,-,0,-,9,2,24%,9,100%,41,8,19%,38,94%
,Guadalupe ES1GE,593,Guadalupe ES,1,GE,General Education,2,1,44%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,2,1,43%,2,100%
,Guadalupe ES2GE,593,Guadalupe ES,2,GE,General Education,1,1,40%,1,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Guadalupe ES3GE,593,Guadalupe ES,3,GE,General Education,4,2,47%,4,93%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,0%,0,100%,3,2,46%,3,92%
,Guadalupe ES4GE,593,Guadalupe ES,4,GE,General Education,3,1,27%,3,100%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,33%,1,100%,2,0,14%,2,100%
,Guadalupe ES5GE,593,Guadalupe ES,5,GE,General Education,2,1,29%,2,86%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,0,50%,1,100%,1,0,33%,1,67%
,Guadalupe ESKSB,593,Guadalupe ES,K,SB,Spanish Biliteracy,34,14,41%,34,100%,4,4,100%,4,100%,0,0,-,0,-,0,0,-,0,-,8,3,37%,8,100%,24,9,39%,24,100%
,Guadalupe ES1SB,593,Guadalupe ES,1,SB,Spanish Biliteracy,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Guadalupe ES2SB,593,Guadalupe ES,2,SB,Spanish Biliteracy,1,0,0%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%
,Harte (Bret) ESTKGE,453,Harte (Bret) ES,TK,GE,General Education,50,31,62%,50,100%,3,3,91%,3,100%,6,3,43%,6,100%,0,0,-,0,-,16,6,37%,16,100%,30,23,75%,30,100%
,Harte (Bret) ESKGE,453,Harte (Bret) ES,K,GE,General Education,40,17,43%,40,100%,4,3,79%,4,100%,6,3,44%,6,100%,0,0,-,0,-,19,6,30%,19,100%,19,10,51%,19,100%
,Harte (Bret) ES1GE,453,Harte (Bret) ES,1,GE,General Education,2,1,38%,2,88%,1,1,100%,1,100%,1,1,67%,1,100%,0,0,-,0,-,2,1,50%,2,100%,1,0,0%,0,50%
,Harte (Bret) ES2GE,453,Harte (Bret) ES,2,GE,General Education,1,0,20%,1,60%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,50%,0,50%
,Harte (Bret) ES3GE,453,Harte (Bret) ES,3,GE,General Education,1,0,20%,1,80%,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-,1,0,0%,1,67%,1,0,50%,1,100%
,Harte (Bret) ES4GE,453,Harte (Bret) ES,4,GE,General Education,3,1,30%,3,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,1,0,0%,1,100%,1,1,75%,1,100%
,Harte (Bret) ES5GE,453,Harte (Bret) ES,5,GE,General Education,1,0,33%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,0%,0,100%,1,0,50%,1,100%
Opened in 25-26,Harte (Bret) ES1MM,453,Harte (Bret) ES,1,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Harte (Bret) ES2MM,453,Harte (Bret) ES,2,MM,SDC - Mild to Moderate,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
New for 26-27,Harte (Bret) ES3MM,453,Harte (Bret) ES,3,MM,SDC - Mild to Moderate,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Harte (Bret) ESKSE,453,Harte (Bret) ES,K,SE,Spanish Immersion (Non-Native),19,7,39%,18,99%,1,1,100%,1,100%,0,0,-,0,-,0,0,-,0,-,6,2,32%,6,100%,10,4,35%,10,98%
,Harte (Bret) ES1SE,453,Harte (Bret) ES,1,SE,Spanish Immersion (Non-Native),1,1,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,67%,1,100%
,Harte (Bret) ESKSN,453,Harte (Bret) ES,K,SN,Spanish Immersion (Spanish Speakers),19,10,51%,18,95%,4,4,93%,4,100%,0,0,-,0,-,0,0,-,0,-,9,5,62%,9,100%,8,2,29%,7,87%
,Harte (Bret) ES1SN,453,Harte (Bret) ES,1,SN,Spanish Immersion (Spanish Speakers),1,0,20%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,50%,1,100%
,Harte (Bret) ES2SN,453,Harte (Bret) ES,2,SN,Spanish Immersion (Spanish Speakers),1,1,75%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,50%,1,100%
,Harte (Bret) ES3SN,453,Harte (Bret) ES,3,SN,Spanish Immersion (Spanish Speakers),1,1,40%,1,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%,0,0,100%,0,100%
,Harte (Bret) ES4SN,453,Harte (Bret) ES,4,SN,Spanish Immersion (Spanish Speakers),2,1,50%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,1,67%,1,100%
,Harte (Bret) ES5SN,453,Harte (Bret) ES,5,SN,Spanish Immersion (Spanish Speakers),0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Hillcrest ESTKGE,614,Hillcrest ES,TK,GE,General Education,78,27,34%,78,99%,4,4,94%,4,100%,8,4,55%,8,100%,0,0,-,0,-,14,3,24%,14,100%,55,17,32%,54,99%
,Hillcrest ESKGE,614,Hillcrest ES,K,GE,General Education,84,21,25%,84,100%,4,3,73%,4,100%,13,4,27%,13,100%,0,0,-,0,-,20,5,24%,20,100%,50,12,24%,50,100%
,Hillcrest ES1GE,614,Hillcrest ES,1,GE,General Education,5,2,29%,5,95%,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-,1,0,50%,1,100%,4,1,29%,4,100%
,Hillcrest ES2GE,614,Hillcrest ES,2,GE,General Education,4,2,47%,4,100%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,1,0,33%,1,100%,3,2,50%,3,100%
,Hillcrest ES3GE,614,Hillcrest ES,3,GE,General Education,4,1,21%,3,86%,0,0,0%,0,0%,1,0,0%,1,100%,0,0,-,0,-,1,0,0%,1,100%,2,1,33%,2,89%
,Hillcrest ES4GE,614,Hillcrest ES,4,GE,General Education,3,1,36%,3,91%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,0,0%,0,50%,2,1,38%,2,100%
,Hillcrest ES5GE,614,Hillcrest ES,5,GE,General Education,1,0,25%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,1,100%
Opened in 24-25,Hillcrest ESTKMM,614,Hillcrest ES,TK,MM,SDC - Mild to Moderate,7,3,36%,7,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,17%,2,100%,5,2,44%,5,100%
