"record_type","cds_code","district","school","status","open_date","charter_yesno","educational_program_type","entity_type","low_grade","high_grade","public_yesno","website","latitude","longitude","street_address","street_city","street_state","street_zip","phone","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"School","38,684,786,059,851","San Francisco Unified","Hoover (Herbert) Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.745350","-122.470310","2290 14th Ave.","San Francisco","CA","94116-1841","(415) 759-2783","POINT (-122.47031 37.74535)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,984","San Francisco Unified","Huerta (Dolores) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.740659","-122.425596","65 Chenery St.","San Francisco","CA","94131-2706","(415) 695-5669","POINT (-122.425596 37.740659)","Glen Park","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,615","San Francisco Unified","ICA Cristo Rey Academy","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","https://www.icacristorey.org/","37.751858","-122.423527","3625 24th St.","San Francisco","CA","94110-3607","(415) 824-2052","POINT (-122.423527 37.751858)","Mission","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,197","San Francisco Unified","Independence High","Active","1980/07/01 12:00:00 AM","false","Alternative School of Choice","Alternative Schools of Choice","9","12","true","No Data","37.763243","-122.463826","1350 7th Ave.","San Francisco","CA","94122-2508","(415) 242-2528","POINT (-122.463826 37.763243)","Inner Sunset","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,230","San Francisco Unified","Jefferson Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.763555","-122.476359","1725 Irving St.","San Francisco","CA","94122-1893","(415) 759-2821","POINT (-122.476359 37.763555)","Inner Sunset","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,200,554","San Francisco Unified","Jewish Community High School of the Bay","Active","2004/08/12 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.jchsofthebay.org","37.781426","-122.436417","1835 Ellis St.","San Francisco","CA","94115-4003","(415) 345-9777","POINT (-122.436417 37.781426)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,102,103","San Francisco Unified","Jordan (June) School for Equity","Active","2003/08/25 12:00:00 AM","false","Alternative School of Choice","Alternative Schools of Choice","9","12","true","www.sfusd.edu","37.719997","-122.425502","325 La Grande Ave.","San Francisco","CA","94112-2866","(415) 452-4922","POINT (-122.425502 37.719997)","McLaren Park","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,146,344","San Francisco Unified","Kahlon Family Services School","Active","2020/11/05 12:00:00 AM","false","No Data","Elementary School (Private)","K","5","false","https://www.kfsschool.org/","37.776063","-122.492742","3140 Balboa St.","San Francisco","CA","94121-2730","(415) 525-4035","POINT (-122.492742 37.776063)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,328","San Francisco Unified","Katherine Delmar Burke School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.burkes.org","37.783557","-122.492867","7070 California St.","San Francisco","CA","94121-1710","(415) 751-0177","POINT (-122.492867 37.783557)","Seacliff","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,130,090","San Francisco Unified","Katherine Michiels School","Active","2005/05/24 12:00:00 AM","false","No Data","Elementary School (Private)","K","5","false","www.kmsofsf.org","37.749812","-122.422421","1335 Guerrero St.","San Francisco","CA","94110-3622","(415) 821-0130","POINT (-122.422421 37.749812)","Mission","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,008","San Francisco Unified","Key (Francis Scott) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.758154","-122.502495","1530 43rd Ave.","San Francisco","CA","94122-2925","(415) 759-2811","POINT (-122.502495 37.758154)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,602","San Francisco Unified","King (Thomas Starr) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.752765","-122.399351","1215 Carolina St.","San Francisco","CA","94107-3322","(415) 695-5797","POINT (-122.399351 37.752765)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,059,885","San Francisco Unified","King Jr. (Martin Luther) Academic Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.727948","-122.404917","350 Girard St.","San Francisco","CA","94134-1469","(415) 330-1500","POINT (-122.404917 37.727948)","Portola","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,101,337","San Francisco Unified","KIPP Bayview Academy","Active","2003/07/16 12:00:00 AM","true","Traditional","Intermediate/Middle Schools (Public)","5","8","true","http://sfbay.kippnorcal.org/","37.719520","-122.396374","1060 Key Ave.","San Francisco","CA","94124-3563","(415) 467-2522","POINT (-122.396374 37.71952)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,101,352","San Francisco Unified","KIPP San Francisco Bay Academy","Active","2003/08/26 12:00:00 AM","true","Traditional","Intermediate/Middle Schools (Public)","5","8","true","https://sfbay.kippnorcal.org/","37.783165","-122.437590","1430 Scott St., Third Fl.","San Francisco","CA","94115-3510","(415) 440-4306","POINT (-122.43759 37.783165)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,127,530","San Francisco Unified","KIPP San Francisco College Preparatory","Active","2013/08/12 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","http://sfcollegeprep.kippnorcal.org/","37.732378","-122.382356","1195 Hudson Ave.","San Francisco","CA","94124-2488","(415) 643-6951","POINT (-122.382356 37.732378)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,336","San Francisco Unified","Kittredge School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.kittredge.org","37.785544","-122.484956","2355 Lake St","San Francisco","CA","94121-1228","(415) 750-8390","POINT (-122.484956 37.785544)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,913,123","San Francisco Unified","KZV Armenian School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.kzv.org","37.713841","-122.478318","825 Brotherhood Way","San Francisco","CA","94132-2903","(415) 586-8686","POINT (-122.478318 37.713841)","Lakeshore","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,144,257","San Francisco Unified","La Scuola International School","Active","2013/01/10 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","lascuolasf.org","37.762291","-122.416331","3250 18Th St.","San Francisco","CA","94110-1919","(415) 551-0000","POINT (-122.416331 37.762291)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,305","San Francisco Unified","Lafayette Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.777608","-122.496889","4545 Anza St.","San Francisco","CA","94121-2621","(415) 750-8483","POINT (-122.496889 37.777608)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,321","San Francisco Unified","Lakeshore Alternative Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.730603","-122.486151","220 Middlefield Dr.","San Francisco","CA","94132-1418","(415) 759-2825","POINT (-122.486151 37.730603)","Lakeshore","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,906,176","San Francisco Unified","Lakeside Presbyterian Center for Children","Active","1980/07/01 12:00:00 AM","false","No Data","Kindergartens (Private)","K","K","false","http://www.lakesidechildrencenter.org","37.730728","-122.475199","201 Eucalyptus Dr","San Francisco","CA","94132-1514","(415) 564-5044","POINT (-122.475199 37.730728)","Lakeshore","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,580","San Francisco Unified","Las Americas Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.757128","-122.412659","801 Treat Ave.","San Francisco","CA","94110-2723","(415) 695-5746","POINT (-122.412659 37.757128)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,877","San Francisco Unified","Lau (Gordon J.) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.793981","-122.408687","950 Clay St.","San Francisco","CA","94108-1521","(415) 291-7921","POINT (-122.408687 37.793981)","Chinatown","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,170,278","San Francisco Unified","Lavenia Rochelle Academy","Active","2024/08/28 12:00:00 AM","false","No Data","K-12 Schools (Private)","K","12","false","No Data","37.729029","-122.373248","724 Kirkwood Ave.","San Francisco","CA","94124-2881","(415) 888-7269","POINT (-122.373248 37.729029)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,339","San Francisco Unified","Lawton Alternative","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.757952","-122.489587","1570 31st Ave.","San Francisco","CA","94122-3104","(415) 759-2832","POINT (-122.489587 37.757952)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,089,569","San Francisco Unified","Lee (Edwin and Anita) Newcomer","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.794905","-122.404146","657 Merchant St.","San Francisco","CA","94111-2505","(415) 291-7918","POINT (-122.404146 37.794905)","Chinatown","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,053","San Francisco Unified","Lick (James) Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.749543","-122.431754","1220 Noe St.","San Francisco","CA","94114-3714","(415) 695-5675","POINT (-122.431754 37.749543)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,649","San Francisco Unified","Lick-Wilmerding High School","Active","1980/07/01 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","www.lwhs.org","37.722188","-122.449131","755 Ocean Ave.","San Francisco","CA","94112-1856","(415) 333-4021","POINT (-122.449131 37.722188)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,429","San Francisco Unified","Life Learning Academy Charter","Active","1998/09/14 12:00:00 AM","true","Traditional","High Schools (Public)","9","12","true","www.llasf.org","37.770910","-122.404797","651 Eighth St., Bldg. 229 Treasure Island","San Francisco","CA","94130-1901","(415) 397-8957","POINT (-122.404797 37.77091)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,102,479","San Francisco Unified","Lilienthal (Claire) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","8","true","No Data","37.803192","-122.443502","3630 Divisadero St.","San Francisco","CA","94123-1411","(415) 749-3516","POINT (-122.443502 37.803192)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,833,241","San Francisco Unified","Lincoln (Abraham) High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.747259","-122.481322","2162 24th Ave.","San Francisco","CA","94116-1723","(415) 759-2700","POINT (-122.481322 37.747259)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,377","San Francisco Unified","Live Oak School","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","No Data","37.763600","-122.399525","1555 Mariposa St.","San Francisco","CA","94107-2333","(415) 861-8840","POINT (-122.399525 37.7636)","Potrero Hill","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,362","San Francisco Unified","Longfellow Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.710460","-122.447692","755 Morse St.","San Francisco","CA","94112-4223","(415) 469-4730","POINT (-122.447692 37.71046)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,833,407","San Francisco Unified","Lowell High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.731044","-122.483559","1101 Eucalyptus Dr.","San Francisco","CA","94132-1401","(415) 759-2730","POINT (-122.483559 37.731044)","Lakeshore","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,146,369","San Francisco Unified","Lycee Francais de San Francisco (Ashbury)","Active","2014/02/26 12:00:00 AM","false","No Data","Elementary School (Private)","K","5","false","https://www.lelycee.org/","37.768064","-122.446841","755 Ashbury St.","San Francisco","CA","94117-4013","(415) 213-7623","POINT (-122.446841 37.768064)","Haight Ashbury","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,939,664","San Francisco Unified","Lycee Francais de San Francisco (Ortega)","Active","1980/07/01 12:00:00 AM","false","No Data","K-12 Schools (Private)","6","12","false","https://www.lelycee.org/","37.751894","-122.476479","1201 Ortega St.","San Francisco","CA","94122-4411","(415) 213-7623","POINT (-122.476479 37.751894)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,572","San Francisco Unified","Mahler (Theresa S.) Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.755547","-122.428001","990 Church St.","San Francisco","CA","94114-3044","(415) 695-5871","POINT (-122.428001 37.755547)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,586","San Francisco Unified","Malcolm X Academy","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.733734","-122.380617","350 Harbor Rd.","San Francisco","CA","94124-2474","(415) 695-5950","POINT (-122.380617 37.733734)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,061","San Francisco Unified","Marina Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.801671","-122.436360","3500 Fillmore St.","San Francisco","CA","94123-2103","(415) 749-3495","POINT (-122.43636 37.801671)","Marina","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,830,403","San Francisco Unified","Marshall (Thurgood) High","Active","1994/09/07 12:00:00 AM","false","Traditional","High Schools (Public)","8","12","true","No Data","37.735717","-122.401881","45 Conkling St.","San Francisco","CA","94124-1931","(415) 695-5612","POINT (-122.401881 37.735717)","Bayview Hunters Point","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,412","San Francisco Unified","Marshall Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.766679","-122.419099","1575 15th St.","San Francisco","CA","94103-3639","(415) 241-6280","POINT (-122.419099 37.766679)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,016","San Francisco Unified","McCoppin (Frank) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.776283","-122.464018","651 Sixth Ave.","San Francisco","CA","94118-3804","(415) 750-8475","POINT (-122.464018 37.776283)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,420","San Francisco Unified","McKinley Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.767229","-122.436594","1025 14th St.","San Francisco","CA","94114-1221","(415) 241-6300","POINT (-122.436594 37.767229)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,531","San Francisco Unified","McLaren (John) Children Centers","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.713557","-122.421911","2055 Sunnydale Ave.","San Francisco","CA","94134-2611","(415) 469-4519","POINT (-122.421911 37.713557)","McLaren Park","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,909,600","San Francisco Unified","Meadows-livingstone school","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","6","false","Www.meadowslivingstoneschool.com","37.749583","-122.405032","1499 Potrero Ave Ste. 1","San Francisco","CA","94110-9411","(415) 695-7735","POINT (-122.405032 37.749583)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,040,919","San Francisco Unified","Milk (Harvey) Civil Rights Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.759148","-122.436340","4235 19th St.","San Francisco","CA","94114-2415","(415) 241-6276","POINT (-122.43634 37.759148)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,151,310","San Francisco Unified","Millennium School of San Francisco","Active","2016/04/25 12:00:00 AM","false","No Data","Elementary School (Private)","6","8","false","millenniumschool.org","37.781751","-122.423746","888 Turk St.","San Francisco","CA","94102-3118","(415) 992-8520","POINT (-122.423746 37.781751)","Western Addition","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,438","San Francisco Unified","Miraloma Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.739309","-122.450214","175 Omar Way","San Francisco","CA","94127-1701","(415) 469-4734","POINT (-122.450214 37.739309)","West of Twin Peaks","7","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,165,480","San Francisco Unified","Mission Bay Elementary","Pending","2026/08/17 12:00:00 AM","false","Traditional","Elementary Schools (Public)","P","5","true","www.sfusd.edu","37.769858","-122.395224","1415 Owens St.","San Francisco","CA","94158-2587","(415) 241-6000","POINT (-122.395224 37.769858)","Mission Bay","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,716","San Francisco Unified","Mission Dolores Academy","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.mdasf.org","37.764531","-122.428026","3371 16th St.","San Francisco","CA","94114-1712","(415) 346-9500","POINT (-122.428026 37.764531)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,089,585","San Francisco Unified","Mission Education Center","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.742282","-122.431061","1670 Noe St.","San Francisco","CA","94131-2357","(415) 695-5313","POINT (-122.431061 37.742282)","Noe Valley","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,834,082","San Francisco Unified","Mission High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.761403","-122.427287","3750 18th St.","San Francisco","CA","94114-2614","(415) 241-6240","POINT (-122.427287 37.761403)","Castro/Upper Market","8","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,154,439","San Francisco Unified","Mission Montessori","Active","2017/10/18 12:00:00 AM","false","No Data","Elementary School (Private)","K","6","false","missionmontessori.org","37.776820","-122.418721","50 Fell St.","San Francisco","CA","94102-5206","(415) 805-8315","POINT (-122.418721 37.77682)","Tenderloin","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,123,505","San Francisco Unified","Mission Preparatory","Active","2011/08/15 12:00:00 AM","true","Traditional","Elementary Schools (Public)","K","8","true","www.missionpreparatory.org","37.755441","-122.408574","1050 York St.","San Francisco","CA","94110-3420","(415) 508-9626","POINT (-122.408574 37.755441)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,446","San Francisco Unified","Monroe Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.725224","-122.430121","260 Madrid St.","San Francisco","CA","94112-2055","(415) 469-4736","POINT (-122.430121 37.725224)","Excelsior","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,099,154","San Francisco Unified","Moscone (George R.) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.756242","-122.412303","2576 Harrison St.","San Francisco","CA","94110-2720","(415) 695-5736","POINT (-122.412303 37.756242)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,255","San Francisco Unified","Muir (John) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.773688","-122.429094","380 Webster St.","San Francisco","CA","94117-3512","(415) 241-6335","POINT (-122.429094 37.773688)","Hayes Valley","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,154,702","San Francisco Unified","My City School","Active","2018/05/12 12:00:00 AM","false","No Data","Elementary School (Private)","5","8","false","https://www.mycityschool.org","37.773560","-122.486902","855 27th Ave.","San Francisco","CA","94121-3619","(415) 260-2316","POINT (-122.486902 37.77356)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,169,627","San Francisco Unified","Nativity","Active","2024/05/07 12:00:00 AM","false","No Data","High Schools (Private)","9","12","false","https://www.nativityhs.org/","37.781921","-122.467320","350 9Th Ave","San Francisco","CA","94118-2211","(415) 322-9229","POINT (-122.46732 37.781921)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,097,919","San Francisco Unified","New Traditions Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.774310","-122.450324","2049 Grove St.","San Francisco","CA","94117-1123","(415) 750-8490","POINT (-122.450324 37.77431)","Lone Mountain/USF","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,152,961","San Francisco Unified","Nomad","Active","2017/07/28 12:00:00 AM","false","Traditional","Elementary School (Private)","5","8","false","No Data","37.755849","-122.414721","2590 Folsom St.","San Francisco","CA","94110-2622","(415) 745-5882","POINT (-122.414721 37.755849)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,473","San Francisco Unified","Noriega Children Center","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.753466","-122.503387","1775 44th Ave.","San Francisco","CA","94122-4013","(415) 759-2853","POINT (-122.503387 37.753466)","Sunset/Parkside","4","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,783,834,769","San Francisco Unified","O'Connell (John) High","Active","1980/07/01 12:00:00 AM","false","Traditional","High Schools (Public)","9","12","true","No Data","37.759631","-122.414687","2355 Folsom St.","San Francisco","CA","94110-2010","(415) 695-5370","POINT (-122.414687 37.759631)","Mission","9","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,271","San Francisco Unified","Ortega (Jose) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.716168","-122.466259","400 Sargent St.","San Francisco","CA","94132-3152","(415) 469-4726","POINT (-122.466259 37.716168)","Oceanview/Merced/Ingleside","11","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,981,559","San Francisco Unified","Our Lady of the Visitacion Elementary","Active","1980/07/01 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.olvsf.org","37.709685","-122.409473","785 Sunnydale Ave","San Francisco","CA","94134-2842","(415) 239-7840","POINT (-122.409473 37.709685)","Visitacion Valley","10","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,206","San Francisco Unified","Parker (Jean) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.797323","-122.411105","840 Broadway St.","San Francisco","CA","94133-4219","(415) 291-7990","POINT (-122.411105 37.797323)","Chinatown","3","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,503","San Francisco Unified","Parks (Rosa) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.783681","-122.429454","1501 O'Farrell St.","San Francisco","CA","94115-3762","(415) 749-3519","POINT (-122.429454 37.783681)","Western Addition","5","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,041,065","San Francisco Unified","Peabody (George) Elementary","Active","1980/07/01 12:00:00 AM","false","Traditional","Elementary Schools (Public)","K","5","true","No Data","37.783947","-122.464567","251 Sixth Ave.","San Francisco","CA","94118-2311","(415) 750-8480","POINT (-122.464567 37.783947)","Inner Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,780,117,499","San Francisco Unified","Presidio Early Ed.","Active","2008/06/01 12:00:00 AM","false","Traditional","Preschool","P","P","true","No Data","37.797684","-122.461075","387 Moraga Ave.","San Francisco","CA","94129-2235","(415) 561-5822","POINT (-122.461075 37.797684)","Presidio","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,205,652","San Francisco Unified","Presidio Hill School","Active","2005/05/24 12:00:00 AM","false","No Data","Elementary School (Private)","K","8","false","www.presidiohill.org","37.788675","-122.456047","3839 Washington St.","San Francisco","CA","94118-1612","(415) 751-9318","POINT (-122.456047 37.788675)","Presidio Heights","2","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,144,034","San Francisco Unified","Presidio Knolls School","Active","2013/01/09 12:00:00 AM","false","No Data","Kindergartens (Private)","K","8","false","www.presidioknolls.org","37.773697","-122.413682","250 10th St.","San Francisco","CA","94103-3811","(415) 202-0770","POINT (-122.413682 37.773697)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,062,079","San Francisco Unified","Presidio Middle","Active","1980/07/01 12:00:00 AM","false","Traditional","Intermediate/Middle Schools (Public)","6","8","true","No Data","37.780831","-122.490102","450 30th Ave.","San Francisco","CA","94121-1766","(415) 750-8435","POINT (-122.490102 37.780831)","Outer Richmond","1","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
"School","38,684,786,150,254","San Francisco Unified","Proof School","Active","2015/12/02 12:00:00 AM","false","No Data","K-12 Schools (Private)","6","12","false","www.proofschool.org","37.781181","-122.407924","973 Mission St","San Francisco","CA","94103-2912","(415) 426-5700","POINT (-122.407924 37.781181)","South of Market","6","2026/02/03 02:02:06 PM","2026/02/06 02:16:51 PM"
